company_id,type,rule_id,text,confidence_pct
ABB,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,81
ABB,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,76
ABB,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,75
ABB,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,79
ABB,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
ABB,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
ABB,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,75
ABB,con,C02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,75
ADANIENSOL,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,77
ADANIENSOL,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,79
ADANIENSOL,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
ADANIENSOL,con,C01,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring,80
ADANIENSOL,con,C02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,75
ADANIENSOL,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
ADANIENSOL,con,C08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
ADANIENSOL,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,81
ADANIENT,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,78
ADANIENT,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,88
ADANIENT,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,86
ADANIENT,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
ADANIENT,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
ADANIENT,con,C08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
ADANIENT,con,C09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,75
ADANIENT,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,78
ADANIGREEN,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,88
ADANIGREEN,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,97
ADANIGREEN,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
ADANIGREEN,con,C01,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring,98
ADANIGREEN,con,C02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,75
ADANIGREEN,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
ADANIGREEN,con,C08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
ADANIGREEN,con,C09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,75
ADANIGREEN,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,75
ADANIGREEN,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,88
ADANIPORTS,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,73
ADANIPORTS,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,78
ADANIPORTS,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88
ADANIPORTS,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
ADANIPORTS,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,75
ADANIPORTS,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
ADANIPORTS,con,C08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
ADANIPOWER,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,89
ADANIPOWER,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,75
ADANIPOWER,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,76
ADANIPOWER,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,79
ADANIPOWER,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
ADANIPOWER,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,75
ADANIPOWER,con,C05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,75
ADANIPOWER,con,C08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
AMBUJACEM,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,75
AMBUJACEM,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,75
AMBUJACEM,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
AMBUJACEM,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
AMBUJACEM,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
AMBUJACEM,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,77
APOLLOHOSP,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,75
APOLLOHOSP,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,83
APOLLOHOSP,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
APOLLOHOSP,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
APOLLOHOSP,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
APOLLOHOSP,con,C02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,75
APOLLOHOSP,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
APOLLOHOSP,con,C08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
APOLLOHOSP,con,C09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,75
ASIANPAINT,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,80
ASIANPAINT,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,75
ASIANPAINT,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,75
ASIANPAINT,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,75
ASIANPAINT,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,79
ASIANPAINT,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
ASIANPAINT,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
ASIANPAINT,con,C08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
ATGL,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,74
ATGL,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,79
ATGL,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,77
ATGL,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,75
ATGL,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,81
ATGL,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
ATGL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
ATGL,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
ATGL,con,C08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
AXISBANK,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,79
AXISBANK,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
AXISBANK,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,88
AXISBANK,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
AXISBANK,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
AXISBANK,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
AXISBANK,con,C08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
AXISBANK,con,C09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,75
AXISBANK,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,82
AXISBANK,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100
BAJAJ-AUTO,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,78
BAJAJ-AUTO,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,75
BAJAJ-AUTO,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,75
BAJAJ-AUTO,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
BAJAJ-AUTO,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
BAJAJ-AUTO,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
BAJAJ-AUTO,con,C05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,75
BAJAJ-AUTO,con,C08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
BAJAJFINSV,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,78
BAJAJFINSV,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,79
BAJAJFINSV,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
BAJAJFINSV,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,77
BAJAJFINSV,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,79
BAJAJFINSV,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
BAJAJFINSV,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
BAJAJFINSV,con,C02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,75
BAJAJFINSV,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
BAJAJFINSV,con,C08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
BAJAJHLDNG,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,86
BAJAJHLDNG,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
BAJAJHLDNG,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,75
BAJAJHLDNG,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,78
BAJAJHLDNG,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
BAJAJHLDNG,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,75
BAJAJHLDNG,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
BAJAJHLDNG,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,82
BAJFINANCE,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,81
BAJFINANCE,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,77
BAJFINANCE,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,80
BAJFINANCE,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,75
BAJFINANCE,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,83
BAJFINANCE,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
BAJFINANCE,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
BAJFINANCE,con,C02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,75
BAJFINANCE,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
BAJFINANCE,con,C08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
BAJFINANCE,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,81
BAJFINANCE,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100
BANKBARODA,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,77
BANKBARODA,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
BANKBARODA,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100
BANKBARODA,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
BANKBARODA,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
BANKBARODA,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
BANKBARODA,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
BANKBARODA,con,C05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,75
BANKBARODA,con,C09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,75
BANKBARODA,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,82
BANKBARODA,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100
BEL,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100
BEL,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,75
BEL,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,75
BEL,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
BEL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
BEL,con,C08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
BHARTIARTL,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,86
BHARTIARTL,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,84
BHARTIARTL,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
BHARTIARTL,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
BHARTIARTL,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
BHARTIARTL,con,C01,Debt-to-equity ratio of 2.61 is elevated for a non-financial company and warrants monitoring,78
BHARTIARTL,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
BHARTIARTL,con,C05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,75
BHARTIARTL,con,C08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
BHARTIARTL,con,C09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,75
BHEL,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
BHEL,con,C03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
BHEL,con,C05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,75
BHEL,con,C08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
BHEL,con,C09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,75
BHEL,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,83
BHEL,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,95
BHEL,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,94
BOSCHLTD,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,75
